2025-01-31 11:12:22,870 - INFO - Starting Telegram client...
2025-01-31 11:12:22,870 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2025-01-31 11:12:25,208 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2025-01-31 11:12:26,931 - INFO - Phone migrated to 4
2025-01-31 11:12:27,424 - INFO - Reconnecting to new data center 4
2025-01-31 11:12:27,941 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2025-01-31 11:12:27,941 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2025-01-31 11:12:27,956 - INFO - Connecting to 149.154.167.92:443/TcpFull...
2025-01-31 11:12:30,646 - INFO - Connection to 149.154.167.92:443/TcpFull complete!
2025-01-31 11:15:38,755 - INFO - Telegram client started successfully.
2025-01-31 11:15:38,755 - INFO - Scraping channel: DoctorsET
2025-01-31 11:15:39,902 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:15:42,050 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:15:43,770 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:15:44,865 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:15:46,750 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:15:47,900 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:15:48,806 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:15:50,297 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:15:51,564 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:15:52,485 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:15:54,407 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:15:55,437 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:15:56,227 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:15:57,067 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:15:57,794 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:15:58,545 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:15:59,521 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:00,246 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:01,103 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:01,737 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:02,653 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:03,247 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:03,974 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:04,669 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:06,081 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:06,977 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:07,989 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:09,404 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:11,691 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:12,593 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:13,416 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:14,181 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:14,884 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:15,571 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:16,255 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:17,581 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:18,618 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:19,346 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:20,400 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:21,681 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:22,829 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:23,692 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:24,398 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:25,795 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:26,645 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:27,509 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:29,117 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:30,797 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:31,757 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:32,833 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:34,361 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:35,265 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:36,383 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:38,269 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:39,125 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:40,114 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:41,898 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:42,617 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:43,318 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:44,737 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:46,497 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:47,573 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:49,475 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:50,321 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:51,765 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:52,737 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:53,371 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:54,321 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:55,205 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:55,743 - INFO - Completed scraping channel: DoctorsET - Total messages: 100
2025-01-31 11:16:55,743 - INFO - Scraping channel: lobelia4cosmetics
2025-01-31 11:16:56,306 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:57,655 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:58,371 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2025-01-31 11:16:58,831 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
